City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,new norfolk,-42.7826,147.0587,30.7,30,61,1.8,AU,1736472686
1,crane,31.3974,-102.3501,4.66,57,11,4.99,US,1736472687
2,port-aux-francais,-49.35,70.2167,4.34,92,100,23.35,TF,1736472688
3,utrik,11.2278,169.8474,26.79,78,6,9.55,MH,1736472690
4,arraial do cabo,-22.9661,-42.0278,23.94,80,96,4.73,BR,1736472691
5,ushuaia,-54.8,-68.3,9.81,62,40,7.72,AR,1736472463
6,albany,42.6001,-73.9662,-4.13,69,49,4.47,US,1736472693
7,punta arenas,-53.15,-70.9167,12.06,47,20,3.6,CL,1736472694
8,puerto carreno,6.189,-67.4859,28.99,61,0,2.86,CO,1736472695
9,port mathurin,-19.6833,63.4167,26.01,89,79,10.71,MU,1736472696
10,stanley,54.868,-1.6985,-2.49,83,20,3.6,GB,1736472697
11,blackmans bay,-43.0167,147.3167,24.07,58,36,3.75,AU,1736472698
12,tiksi,71.6872,128.8694,-26.69,99,94,4.42,RU,1736472701
13,adamstown,-25.066,-130.1015,23.1,84,100,12.64,PN,1736472702
14,west island,-12.1568,96.8225,25.99,94,75,1.54,CC,1736472703
15,minas de marcona,-15.2119,-75.1103,16.34,75,3,4.04,PE,1736472704
16,badger,64.8,-147.5333,-5.91,88,40,0.0,US,1736472705
17,papatowai,-46.5619,169.4708,15.75,67,86,3.69,NZ,1736472706
18,uturoa,-16.7333,-151.4333,28.3,72,89,6.24,PF,1736472708
19,lebu,-37.6167,-73.65,13.58,78,0,8.32,CL,1736472709
20,alofi,-19.0595,-169.9187,24.94,94,100,3.6,NU,1736472710
21,benjamin hill,30.1667,-111.1,10.89,28,23,8.84,MX,1736472711
22,grytviken,-54.2811,-36.5092,5.09,97,100,1.17,GS,1736472712
23,tura,25.5198,90.2201,15.05,72,0,0.73,IN,1736472713
24,cannonvale,-20.2833,148.7,28.66,63,93,3.6,AU,1736472714
25,isafjordur,66.0755,-23.124,-2.18,84,56,5.6,IS,1736472715
26,puerto natales,-51.7236,-72.4875,7.92,76,3,2.06,CL,1736472716
27,qarauyl,48.9451,79.255,-10.75,67,96,3.27,KZ,1736472718
28,qarazhal,48.0078,70.7903,-12.74,68,11,3.41,KZ,1736472719
29,natchez,31.5604,-91.4032,2.12,87,100,4.63,US,1736472642
30,vorgashor,67.5833,63.95,-13.7,93,100,3.91,RU,1736472721
31,bandarbeyla,9.4942,50.8122,23.09,71,22,6.27,SO,1736472722
32,bilibino,68.0546,166.4372,-27.33,98,100,1.03,RU,1736472723
33,anadyr,64.75,177.4833,-29.72,74,40,3.0,RU,1736472724
34,hawaiian paradise park,19.5933,-154.9731,25.73,81,20,3.6,US,1736472725
35,talnakh,69.4865,88.3972,-26.39,96,29,3.4,RU,1736472726
36,saldanha,-33.0117,17.9442,18.03,89,54,2.97,ZA,1736472728
37,edinburgh of the seven seas,-37.0676,-12.3116,17.77,95,100,6.92,SH,1736472729
38,hermanus,-34.4187,19.2345,18.22,85,57,3.2,ZA,1736472730
39,yellowknife,62.456,-114.3525,-21.36,77,100,6.71,CA,1736472596
40,labrador city,52.9463,-66.9114,-3.79,80,100,12.52,CA,1736472732
41,whitehorse,60.7161,-135.0538,1.43,86,100,9.77,CA,1736472733
42,udachny,66.4167,112.4,-23.27,100,100,0.81,RU,1736472734
43,kokopo,-4.352,152.2633,29.98,67,100,4.48,PG,1736472735
44,ha'il,27.5219,41.6907,3.01,93,0,2.06,SA,1736472737
45,mongo,12.1844,18.693,18.43,21,0,2.98,TD,1736472738
46,paea,-17.6833,-149.5833,31.84,70,75,2.57,PF,1736472739
47,luwuk,-0.9516,122.7875,28.42,67,100,1.5,ID,1736472740
48,chonchi,-42.6128,-73.8092,12.29,84,0,1.43,CL,1736472741
49,pandan,14.0453,124.1694,25.22,90,99,8.76,PH,1736472742
50,rio grande,-32.035,-52.0986,21.36,77,0,7.26,BR,1736472743
51,huayin,34.5675,110.0921,3.59,31,0,4.46,CN,1736472744
52,lorengau,-2.0226,147.2712,29.62,71,89,3.63,PG,1736472745
53,waitangi,-43.9535,-176.5597,14.9,68,89,4.92,NZ,1736472747
54,kodiak,57.79,-152.4072,5.73,70,0,3.09,US,1736472748
55,colonia,50.9333,6.95,1.36,88,75,4.63,DE,1736472749
56,sao geraldo do araguaia,-6.4006,-48.555,23.4,96,100,1.39,BR,1736472750
57,mahina,-17.5065,-149.489,31.87,70,75,2.57,PF,1736472595
58,invercargill,-46.4,168.35,17.79,75,88,4.02,NZ,1736472753
59,berdigestyakh,62.0989,126.6992,-30.93,97,99,1.09,RU,1736472755
60,hithadhoo,-0.6,73.0833,27.37,76,100,4.19,MV,1736472756
61,nemuro,43.3236,145.575,0.21,64,100,3.84,JP,1736472757
62,college,64.8569,-147.8028,-5.86,88,100,0.0,US,1736472758
63,jamestown,42.097,-79.2353,-9.2,85,100,2.57,US,1736472759
64,afaahiti,-17.75,-149.2833,26.81,77,99,5.46,PF,1736472761
65,chibougamau,49.9168,-74.3659,-10.21,92,100,5.66,CA,1736472762
66,puerto ayora,-0.7393,-90.3518,23.71,87,60,2.88,EC,1736472764
67,khvoynaya,58.9,34.5333,-6.94,98,83,1.78,RU,1736472765
68,huaihua,27.5494,109.9592,4.24,47,0,1.88,CN,1736472766
69,riohacha,11.5444,-72.9072,27.06,92,12,3.09,CO,1736472767
70,fale old settlement,-9.3852,-171.2468,28.16,70,90,8.66,TK,1736472768
71,susuman,62.7833,148.1667,-25.4,98,100,0.6,RU,1736472769
72,santiago de cao,-7.9589,-79.2392,18.07,88,99,4.63,PE,1736472770
73,vinita,36.6387,-95.1541,-1.1,92,100,2.1,US,1736472771
74,ust-nera,64.5667,143.2,-31.56,99,85,1.28,RU,1736472772
75,bredasdorp,-34.5322,20.0403,17.98,89,20,2.18,ZA,1736472774
76,margaret river,-33.95,115.0667,21.15,58,100,4.83,AU,1736472775
77,pinhao,-25.6956,-51.6597,15.88,98,7,3.34,BR,1736472776
78,iqaluit,63.7506,-68.5145,-15.15,77,100,1.54,CA,1736472777
79,bairnsdale,-37.8333,147.6167,24.47,67,100,1.79,AU,1736472778
80,lannemezan,43.1252,0.384,8.97,73,100,2.35,FR,1736472780
81,saipan,15.1355,145.701,30.39,80,40,5.14,MP,1736472782
82,kuanda,56.3161,116.0806,-30.33,97,23,0.65,RU,1736472783
83,longyearbyen,78.2186,15.6401,-2.09,93,100,6.17,SJ,1736472587
84,nar'yan-mar,67.6713,53.087,-10.07,95,100,4.63,RU,1736472786
85,ilulissat,69.2167,-51.1,-16.99,60,11,3.6,GL,1736472787
86,mugia,43.1041,-9.2179,15.51,93,79,10.38,ES,1736472788
87,enewetak,11.3474,162.3373,27.39,80,5,9.56,MH,1736472789
88,kavaratti,10.5669,72.642,26.72,75,100,4.59,IN,1736472791
89,brisas de zicatela,15.8369,-97.0419,27.29,83,20,2.57,MX,1736472792
90,avarua,-21.2078,-159.775,25.03,94,100,6.69,CK,1736472793
91,lihue,21.9789,-159.3672,24.77,84,100,5.66,US,1736472794
92,kailua-kona,19.6406,-155.9956,26.98,81,75,4.12,US,1736472783
93,selfoss,63.9331,-20.9971,-8.14,93,91,3.58,IS,1736472796
94,leava,-14.3,-178.1667,27.38,80,100,10.08,WF,1736472516
95,wailua homesteads,22.0669,-159.378,24.44,85,100,5.66,US,1736472800
96,kingston,17.997,-76.7936,25.53,73,20,1.54,JM,1736472759
97,jala,21.0833,-104.4333,15.63,92,91,2.16,MX,1736472802
98,st. john's,47.5649,-52.7093,0.54,86,100,7.2,CA,1736472750
99,taulaga,-11.0553,-171.0883,28.69,70,100,10.54,AS,1736472804
100,essaouira,31.5125,-9.77,12.72,62,0,2.57,MA,1736472805
101,kourou,5.1552,-52.6478,24.69,83,18,2.18,GF,1736472806
102,nova vicosa,-17.8919,-39.3719,24.01,92,100,3.64,BR,1736472807
103,aasiaat,68.7098,-52.8699,-22.43,99,80,2.28,GL,1736472809
104,okha,53.5739,142.9478,-18.91,94,55,7.42,RU,1736472810
105,vorkuta,67.5,64.0,-13.51,91,100,3.44,RU,1736472811
106,yershov,51.3513,48.2766,0.26,97,100,2.5,RU,1736472812
107,lompoc,34.6391,-120.4579,15.51,61,0,3.09,US,1736472813
108,simpang,-1.2667,104.0833,26.58,81,100,1.83,ID,1736472814
109,saint-pierre,-21.3393,55.4781,24.82,73,0,2.57,RE,1736472815
110,la passe,45.5549,-0.8967,8.24,86,100,4.52,FR,1736472816
111,nizhnevartovsk,60.9344,76.5531,-14.99,85,100,7.0,RU,1736472817
112,helena valley west central,46.6629,-112.0604,-3.51,71,0,1.54,US,1736472819
113,sechura,-5.5569,-80.8222,21.82,76,48,5.92,PE,1736472820
114,kyabe,9.4515,18.9449,21.98,19,6,3.6,TD,1736472821
115,guixi,28.2886,117.2133,6.45,29,0,4.03,CN,1736472822
116,carinhanha,-14.3047,-43.765,21.74,95,100,0.97,BR,1736472823
117,olonkinbyen,70.9221,-8.7187,-9.09,82,100,12.15,SJ,1736472824
118,bethel,41.3712,-73.414,-2.1,67,0,3.58,US,1736472825
119,caleta de carquin,-11.0925,-77.6267,21.12,84,100,4.1,PE,1736472826
120,qaqortoq,60.7167,-46.0333,-9.96,70,25,3.73,GL,1736472828
121,poronaysk,49.2167,143.1167,-6.71,82,12,7.29,RU,1736472829
122,xinqing,48.2333,129.5,-19.0,89,56,1.53,CN,1736472830
123,santyoku,37.4406,129.1708,-2.08,26,1,1.73,KR,1736472831
124,coos bay,43.3665,-124.2179,11.99,71,0,2.06,US,1736472640
125,golfito,8.639,-83.166,21.69,95,100,0.5,CR,1736472833
126,belyy yar,53.6039,91.3903,-10.06,92,0,3.0,RU,1736472834
127,zeeland,51.4167,3.75,5.01,85,75,7.72,NL,1736472835
128,codrington,-38.2667,141.9667,27.91,39,71,6.99,AU,1736472836
129,jirja,26.3383,31.8916,10.12,71,0,3.09,EG,1736472838
130,carnarvon,-24.8667,113.6333,27.79,51,51,7.53,AU,1736472839
131,remire-montjoly,4.9167,-52.2667,24.02,94,75,0.0,GF,1736472840
132,xining,36.6167,101.7667,-9.32,88,100,0.03,CN,1736472841
133,hammerfest,70.6634,23.6821,-9.75,79,2,0.51,NO,1736472811
134,arkhangel'sk,64.5401,40.5433,-6.94,93,75,8.0,RU,1736472843
135,estes park,40.3772,-105.5217,-14.55,78,11,4.21,US,1736472844
136,zhangjiakou,40.81,114.8794,-11.19,49,0,2.09,CN,1736472845
137,motomachi,43.8228,144.1044,-3.99,74,75,1.03,JP,1736472847
138,galich,58.3797,42.3475,-4.1,93,100,3.34,RU,1736472685
139,miramar,25.9873,-80.2323,14.01,73,0,3.6,US,1736472609
140,el aioun,34.5832,-2.5061,11.24,50,0,1.21,MA,1736472850
141,nuuk,64.1835,-51.7216,-5.66,73,7,7.2,GL,1736472851
142,zhanga buqtyrma,49.6295,83.5248,-11.51,97,100,0.94,KZ,1736472852
143,el granada,37.5027,-122.4694,17.22,61,0,2.64,US,1736472853
144,nadi,-17.8,177.4167,29.0,65,40,5.14,FJ,1736472854
145,thompson,55.7435,-97.8558,-18.91,78,75,3.6,CA,1736472855
146,trairi,-3.2778,-39.2689,26.08,84,100,3.86,BR,1736472857
147,macia,-25.0269,33.0989,23.21,95,98,0.13,MZ,1736472858
148,port elizabeth,-33.918,25.5701,21.16,89,0,2.57,ZA,1736472859
149,weno,7.4515,151.8468,30.97,79,20,5.14,FM,1736472860
150,touros,-5.1989,-35.4608,26.07,85,15,4.04,BR,1736472861
151,scottsboro,34.6723,-86.0341,1.79,55,0,0.0,US,1736472862
152,keflavik,64.0049,-22.5624,1.24,69,75,5.66,IS,1736472863
153,ribeira grande,38.5167,-28.7,18.22,94,75,3.6,PT,1736472864
154,westport,41.1415,-73.3579,-1.13,62,0,8.23,US,1736472716
155,iskateley,67.6803,53.1512,-10.05,95,100,4.63,RU,1736472867
156,mount pearl,47.5166,-52.7813,0.08,89,100,7.2,CA,1736472868
157,chinde,26.8212,87.7095,13.74,62,0,1.88,NP,1736472869
158,usinsk,65.9939,57.5281,-9.16,95,100,7.09,RU,1736472870
159,arti,56.4234,58.5328,-1.12,89,100,5.72,RU,1736472871
160,agat village,13.3886,144.6585,29.64,81,20,5.66,GU,1736472872
161,hamilton,39.1834,-84.5333,-7.35,75,0,3.09,US,1736472873
162,karachi,24.9056,67.0822,13.9,44,0,2.57,PK,1736472874
163,saguenay,48.4168,-71.0657,-4.4,82,75,10.8,CA,1736472875
164,esil,51.9556,66.4042,-9.77,66,97,8.08,KZ,1736472877
165,gaiman,-43.2897,-65.4929,14.11,51,100,8.16,AR,1736472879
166,kachug,53.9606,105.8817,-21.24,98,100,0.66,RU,1736472881
167,lhasa,29.65,91.1,-1.08,13,0,1.21,CN,1736472882
168,kangding,30.0513,101.9603,-0.37,72,95,0.92,CN,1736472883
169,saint-philippe,-21.3585,55.7679,26.05,86,98,5.7,RE,1736472885
170,kollam,8.8833,76.6,23.86,77,96,3.85,IN,1736472886
171,kirensk,57.7853,108.1119,-16.34,98,100,1.91,RU,1736472887
172,lensk,60.7253,114.9278,-17.03,93,100,1.92,RU,1736472888
173,tarrafal,15.2833,-23.7667,22.92,73,0,7.75,CV,1736472890
174,naze,28.3667,129.4833,9.51,70,99,8.64,JP,1736472891
175,yinchuan,38.4681,106.2731,-4.91,45,58,2.33,CN,1736472892
176,gjirokaster,40.0758,20.1389,9.87,95,100,1.31,AL,1736472894
177,tengrela,10.4869,-6.4097,22.28,20,100,2.13,CI,1736472895
178,kargasok,59.0556,80.8572,-13.75,94,100,6.36,RU,1736472897
179,yomju-up,39.8933,124.5981,-9.78,50,0,5.0,KP,1736472899
180,klaksvik,62.2266,-6.589,1.35,57,74,3.26,FO,1736472900
181,opuwo,-18.0607,13.84,20.62,46,87,2.63,,1736472902
182,bodo,67.28,14.405,-5.59,76,0,8.23,NO,1736472903
183,hargeysa,9.56,44.065,13.17,92,72,3.98,SO,1736472904
184,colonia menno,-22.3667,-59.8167,29.65,30,1,4.33,PY,1736472905
185,puerto san jose,13.9256,-90.8244,26.31,80,94,1.7,GT,1736472906
186,glendive,47.1053,-104.7125,-2.21,74,0,4.63,US,1736472907
187,ta`u,-14.2336,-169.5144,27.74,79,100,12.75,AS,1736472908
188,belogorsk,50.9158,128.4611,-20.68,87,66,2.41,RU,1736472909
189,aden,12.7794,45.0367,24.24,75,27,6.98,YE,1736472910
190,ngaoundere,7.3167,13.5833,15.82,29,0,2.0,CM,1736472912
191,lospalos,-8.5186,127.0025,28.56,62,100,2.47,TL,1736472913
192,narvik,68.4384,17.4272,-6.22,77,34,2.59,NO,1736472915
193,santa ana,33.7456,-117.8678,21.12,23,20,2.68,US,1736472916
194,praia da vitoria,38.7333,-27.0667,20.14,88,75,6.79,PT,1736472917
195,taco pozo,-25.6167,-63.2833,27.18,37,40,2.22,AR,1736472918
196,dhidhdhoo,6.8833,73.1,27.73,77,100,8.59,MV,1736472919
197,sao paulo de olivenca,-3.3783,-68.8725,23.42,97,100,0.98,BR,1736472920
198,aykhal,66.0,111.5,-20.75,100,100,1.41,RU,1736472922
199,kolokani,13.5728,-8.0339,20.54,18,100,4.86,ML,1736472923
200,kalymnos,36.95,26.9833,12.74,94,20,1.03,GR,1736472924
201,pingzhuang,42.0372,119.2889,-8.98,33,88,2.43,CN,1736472925
202,port lincoln,-34.7333,135.8667,22.33,55,6,4.38,AU,1736472926
203,bafra,41.5678,35.9069,9.76,62,0,2.63,TR,1736472927
204,tisul',55.7611,88.3122,-14.83,92,69,1.86,RU,1736472928
205,le port,-20.9373,55.2919,27.98,92,92,1.62,RE,1736472929
206,tupiza,-21.45,-65.7167,12.18,74,100,1.9,BO,1736472932
207,dalandzadgad,43.5708,104.425,-9.4,61,100,0.55,MN,1736472933
208,northam,51.0333,-4.2167,0.45,91,95,0.89,GB,1736472934
209,mazamari,-11.3258,-74.5308,20.8,99,100,0.81,PE,1736472935
210,douglas,41.3,-96.167,1.29,91,100,4.12,US,1736472936
211,sona,45.4388,10.8255,5.48,100,0,1.54,IT,1736472937
212,egilsstadir,65.2653,-14.3948,-18.05,85,0,1.03,IS,1736472938
213,kasama,-10.2129,31.1808,16.97,96,100,1.47,ZM,1736472940
214,ouadda,8.0777,22.4007,18.65,26,60,1.82,CF,1736472942
215,dudinka,69.4058,86.1778,-32.92,100,69,1.41,RU,1736472943
216,nova sintra,14.8667,-24.7167,23.65,74,0,10.27,CV,1736472945
217,ola,59.5833,151.2833,-17.44,78,49,3.09,RU,1736472947
218,kurtamysh,54.9103,64.4319,-2.88,82,100,8.63,RU,1736472948
219,kaihua,23.3687,104.28,5.12,85,100,1.73,CN,1736472949
220,cheremushki,52.8356,91.3944,-7.1,95,100,1.19,RU,1736472951
221,pendencias,-5.26,-36.7222,25.33,84,100,3.52,BR,1736472952
222,kone,-21.0595,164.8658,25.93,64,96,1.92,NC,1736472953
223,afif,23.9065,42.9172,9.51,55,100,4.92,SA,1736472955
224,dakhla,23.6848,-15.958,18.26,38,0,7.23,EH,1736472956
225,villa gesell,-37.2639,-56.973,18.96,85,19,6.01,AR,1736472957
226,alghero,40.5589,8.3181,13.31,76,0,3.09,IT,1736472958
227,kotma,23.2,81.9667,10.62,37,5,0.41,IN,1736472959
228,pertek,38.8663,39.3268,-2.24,70,4,1.63,TR,1736472960
229,sosnovo-ozerskoye,52.5249,111.5418,-28.06,99,62,1.73,RU,1736472961
230,boulder city,35.9786,-114.8325,11.86,22,0,6.69,US,1736472879
231,point pedro,9.8167,80.2333,25.84,82,99,6.11,LK,1736472965
232,cockburn town,21.4612,-71.1419,23.58,63,44,6.66,TC,1736472966
233,mendoza,-32.8908,-68.8272,27.74,34,0,2.06,AR,1736472967
234,taft,31.7471,54.2088,-0.03,60,0,2.06,IR,1736472968
235,klyuchi,52.2667,79.1667,-6.45,89,100,6.24,RU,1736472969
236,east london,-33.0153,27.9116,21.24,79,55,6.54,ZA,1736472764
237,fortuna,40.5982,-124.1573,12.18,90,0,2.06,US,1736472971
238,tomatlan,19.9333,-105.25,21.49,83,100,1.02,MX,1736472973
239,uvinza,-5.1036,30.3911,18.93,95,100,0.66,TZ,1736472974
240,magumeri,12.1131,12.8274,15.68,34,0,3.93,NG,1736472975
241,flin flon,54.7682,-101.865,-19.54,91,97,3.85,CA,1736472976
242,moranbah,-22.0016,148.0466,32.21,37,3,5.02,AU,1736472977
243,al jawf,29.5,38.75,7.93,63,0,4.85,SA,1736472978
244,taoudenni,22.6783,-3.9836,14.58,20,3,5.44,ML,1736472979
245,son la,21.3167,103.9,13.54,63,100,2.36,VN,1736472980
246,constantia,44.1833,28.65,7.61,94,87,4.81,RO,1736472982
247,quellon,-43.1167,-73.6167,9.67,82,0,3.73,CL,1736472983
248,kasempa,-13.4584,25.8338,17.43,98,100,2.36,ZM,1736472984
249,port alfred,-33.5906,26.891,19.54,91,0,0.89,ZA,1736472985
250,manistee,44.2445,-86.3242,-5.03,71,0,3.09,US,1736472903
251,tolanaro,-25.0319,46.9987,26.04,89,40,4.12,MG,1736472987
252,palikir - national government center,6.9248,158.1611,31.47,70,75,8.23,FM,1736472988
253,nyala,12.05,24.8833,18.94,22,33,7.56,SD,1736472989
254,manaus,-3.1019,-60.025,25.28,88,0,1.03,BR,1736472990
255,svyetlahorsk,52.6329,29.7389,5.11,91,100,5.35,BY,1736472992
256,hue,16.4667,107.6,22.06,73,75,6.69,VN,1736472993
257,zaozersk,69.4005,32.4476,-13.3,98,91,3.1,RU,1736472994
258,sarupathar,26.1984,93.8094,14.91,73,0,0.89,IN,1736472995
259,gabu,12.2833,-14.2167,20.95,65,0,1.9,GW,1736472997
260,khandyga,62.6667,135.6,-32.62,91,100,1.27,RU,1736472998
261,rio preto da eva,-2.6994,-59.6997,23.1,98,98,1.31,BR,1736473000
262,raiwind,31.2544,74.2178,8.26,36,71,0.89,PK,1736473001
263,brookings,44.3114,-96.7984,-1.6,86,100,4.12,US,1736473002
264,morales,2.757,-76.6172,16.31,97,100,0.42,CO,1736473003
265,georgetown,5.4112,100.3354,27.96,68,20,2.57,MY,1736473004
266,mbanza kongo,-6.267,14.2401,20.06,99,99,0.85,AO,1736473005
267,gizo,-8.103,156.8419,28.8,76,96,3.92,SB,1736473006
268,la sarre,48.8002,-79.1996,-22.16,97,5,1.36,CA,1736473007
269,cambria,35.5641,-121.0808,15.03,57,0,2.63,US,1736473008
270,wlodawa,51.55,23.55,9.04,82,100,7.01,PL,1736473010
271,bayeux,-7.125,-34.9322,28.35,78,75,2.57,BR,1736473011
272,bamyan,34.75,67.25,-14.16,35,78,3.02,AF,1736473012
273,nantucket,41.2835,-70.0995,-2.94,59,0,13.21,US,1736473013
274,sinabang,2.4803,96.3801,27.72,79,100,0.8,ID,1736473014
275,mata-utu,-13.2816,-176.1745,27.28,85,100,13.27,WF,1736473015
